gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76881.08578557857	3.069716744739677	0.1552917718125874	19.76741400339188	5.681445650150187e-87	1.3010510538843927e-84
ENSG00000154734	22848.019017692543	3.4402821440920035	0.17884734312616232	19.235858268608233	1.8544792036898416e-82	2.1233786882248685e-80
ENSG00000154723	7339.23015054179	2.5801388991384777	0.16386935116351992	15.745097425593885	7.421672826300693e-56	5.665210257409528e-54
ENSG00000180509	30211.206290384882	2.941289425942679	0.20022791706107107	14.689706955526901	7.503760200361386e-49	4.2959027147068937e-47
ENSG00000183145	9987.494363626816	2.8892084510368243	0.24864601022386415	11.619765981507507	3.2703080728131224e-31	1.49780109734841e-29
ENSG00000276289	11786.836065146643	2.8587357796947988	0.4641026171441373	6.159706224640735	7.288001653494877e-10	2.7815872977505444e-8
ENSG00000277277	724.3230324919008	0.9258116882577152	0.26407562163818216	3.5058582178638105	4.551375949172776e-4	0.014889501319436654
ENSG00000185437	2256.7364774822395	0.5140026502927045	0.19100137768074424	2.691093941489007	0.007121813743766499	0.20386191841531603
ENSG00000160188	1876.2603193505545	-0.5394225770142023	0.21888783463065523	-2.4643789725655965	0.013725090699651723	0.3397279674123349
ENSG00000154719	1373.9635412506254	-0.5913257918420324	0.24270718267398353	-2.4363753281926184	0.014835282419752618	0.3397279674123349
ENSG00000157557	3474.077677110283	-0.4925789218499025	0.2097158408589807	-2.3487921552913473	0.018834416981527394	0.39209831716088844
ENSG00000160207	885.315139719664	0.6305520150422467	0.27467057456135346	2.2956664216734275	0.021694961769670257	0.40093673734337987
ENSG00000177692	2181.1864978879103	0.45694778167792444	0.20064191560172312	2.277429321323725	0.02276060080988619	0.40093673734337987
ENSG00000186930	103.4529195494305	-1.1284104209369648	0.5647295372417042	-1.998143087128813	0.045701149618701906	0.7273684689640156
ENSG00000205929	1354.5692490921838	0.47030129186059455	0.2374625736866408	1.9805280662089144	0.04764422285790495	0.7273684689640156
ENSG00000184012	5523.130354576764	-0.40004538009102786	0.20794891382902864	-1.9237675865907	0.05438372201545852	0.77836702134625
ENSG00000183036	968.7810550928996	-0.5322805347034463	0.2813649080145099	-1.8917801031392185	0.05852028536969361	0.7883026676270491
ENSG00000141959	16717.91908772172	2.0404335454244076	1.1082253921218992	1.8411719853464341	0.06559635933035934	0.8345314603695716
ENSG00000187175	207.6284133324209	0.7772596259149457	0.44202511485943846	1.7584060266849542	0.07867844842666515	0.8850707811895326
ENSG00000166265	1222.5237043337665	0.5284038279889567	0.30162292145786673	1.7518689409775796	0.07979634628992291	0.8850707811895326
ENSG00000159128	2809.982251462521	0.34394353351179713	0.19795328862936237	1.7374984567989644	0.08229922617490593	0.8850707811895326
ENSG00000244624	102.06666900624992	0.9861453469647199	0.5754402152955537	1.713723373431978	0.08657954211703511	0.8850707811895326
ENSG00000154721	3847.751175833942	-0.3260301776278105	0.19646992985125544	-1.659440596709345	0.09702704148605465	0.8850707811895326
ENSG00000274391	3083.1150380092963	0.2856521081560226	0.17316893925910512	1.6495574170412504	0.09903349055033946	0.8850707811895326
ENSG00000197683	369.2319035026729	-0.6859950922470744	0.4214902194029278	-1.62754688167815	0.1036210001331061	0.8850707811895326
ENSG00000184221	1251.1211176588085	-0.4638621138683913	0.2857319596303149	-1.623416976065766	0.1045002981626258	0.8850707811895326
ENSG00000142173	5507.613667474601	-0.3152266590257493	0.1960158302153228	-1.6081693946834488	0.10779808416341681	0.8850707811895326
ENSG00000154727	3764.7491891500613	0.27176476562691365	0.17037512813342034	1.5950964709713693	0.11069066453613252	0.8850707811895326
ENSG00000212938	216.07224658881074	-0.715093307503472	0.45005586397093533	-1.5888989895477794	0.1120831993646133	0.8850707811895326
ENSG00000156239	3664.4613944082303	-0.36805844720686925	0.23858084698283005	-1.5426990551062858	0.12290381126297634	0.9381657593073861
ENSG00000160182	178.71702774373347	-0.6969595103232243	0.4748423227536041	-1.4677704090940455	0.14216659788593172	0.9571391690460613
ENSG00000186925	146.3579603377155	0.6761817874075081	0.4723610211468759	1.4314936185161142	0.15228879460476938	0.9571391690460613
ENSG00000154654	5151.910533823702	0.324113851246154	0.2293321910493087	1.4132941815240683	0.15756924408915762	0.9571391690460613
ENSG00000166351	1223.7641532690361	0.34503817846210655	0.2501481731605992	1.379335192028712	0.16779143083591988	0.9571391690460613
ENSG00000159200	9651.109442210998	-0.2366567816886255	0.17647337025534215	-1.3410339551299042	0.1799094284821268	0.9571391690460613
ENSG00000159263	4524.444282687593	-0.2564752578932978	0.19200960038064194	-1.3357418451205483	0.1816336670084782	0.9571391690460613
ENSG00000182591	328.4705843510655	-0.5025124433094571	0.3766283469243535	-1.3342395690953863	0.182125355423988	0.9571391690460613
ENSG00000154640	1589.1098835036494	-0.24681419299499974	0.18799752516927104	-1.3128587345645681	0.1892305541125805	0.9571391690460613
ENSG00000232263	142.51648851466183	-0.6739756121297692	0.5257121036820671	-1.2820241485962949	0.19983417515174143	0.9571391690460613
ENSG00000160181	720.2999906707374	0.3361573281942025	0.26298857384473723	1.278220278850071	0.20117176783626495	0.9571391690460613
ENSG00000206104	85.49408621871527	0.7903566528149921	0.6240126648392874	1.2665714934143943	0.20530855079080504	0.9571391690460613
ENSG00000157617	9314.093989162042	-0.24964633891370694	0.19712419089239747	-1.266441920616325	0.20535491055345614	0.9571391690460613
ENSG00000183255	3872.511899308957	-0.21733644146356756	0.17293841470856366	-1.2567273837326634	0.2088523687242776	0.9571391690460613
